
No[0] : Gabriele Parisi   ガブリエレ・パリジ
No[1] : Andrea Trapanese   アンドレア・トラパネゼ
No[2] : Aslem Zito   アスレム・ツィト
No[3] : Nicolas Damore   ニコラス・ダモレ
No[4] : Pietro Paoletti   ピエトロ・パオレッティ
No[5] : Giovanni Ermini   ジョヴァンニ・エルミニ
No[6] : Mattia Pessot   マッティア・ペッソト
No[7] : Hans Nicolussi Caviglia   ハンス・ニコルッシ・カヴィーリア
No[8] : Giovanbattista Romanengo   ジョヴァンバッティスタ・ロマネンゴ
No[9] : Mattia Di Marco   マッティア・ディ・マルコ
No[10] : Angelo Ballacchino   アンジェロ・バッラッキノ
No[11] : Cristian Silveri   クリスティアン・ジルヴェリ
No[12] : Simone Dodi   ジモネ・ドディ
No[13] : Marco Errico   マルコ・エッリコ
No[14] : Nicolo Farina   ニコロ・ファリナ
No[15] : Laye Mbaye Samba   ライェ・ンバイェ・サンバ
No[16] : Leonardo Carletti   レオナルド・カルレッティ
No[17] : Viani II   ヴィアニ・イイ
No[18] : Marco Romano   マルコ・ロマノ
No[19] : Carlo Radice   カルロ・ラディチェ
No[20] : Gastone Prendato   ガストネ・プレンダト
No[21] : Luigi Gallanti   ルイジ・ガッランティ
No[22] : Renzo Cappellaro   レンツォ・カッペッラロ
No[23] : Alfredo Diotalevi   アルフレド・ディオタレヴィ
No[24] : Otello Torri   オテッロ・トッリ
No[25] : Paolo Erba   パオロ・エルバ
No[26] : Michele Manenti   ミケレ・マネンティ
No[27] : Aurelio Pavesi De Marco   アウレリオ・パヴェジ・デ・マルコ
No[28] : Giovanni Costanzo   ジョヴァンニ・コスタンツォ
No[29] : Gabriele Serra   ガブリエレ・ゼッラ
No[30] : Jacopo Da Riva   ジャコポ・ダ・リヴァ
No[31] : Giovanni Longobardi   ジョヴァンニ・ロンゴバルディ
No[32] : Luigi Demarchi   ルイジ・デマルキ
No[33] : Emanuele Sinopoli   エマヌエレ・ジノポリ
No[34] : Antonio Donnarumma   アントニオ・ドンナルンマ
No[35] : Leonardo Lovato   レオナルド・ロヴァト
No[36] : Luca Scognamillo   ルカ・スコニャミッロ
No[37] : Alessandro Lombardi   アレッサンドロ・ロンバルディ
No[38] : Samuel Tinelli   サムエル・ティネッリ
No[39] : Massimo Zallocco   マッシモ・ザッロッコ
No[40] : Regis Da Silva   レジス・ダ・ジルヴァ
No[41] : Federico Gmeiner   フェデリコ・グメイネル
No[42] : Davide Boccafogli   ダヴィデ・ボッカフォーリ
No[43] : Mattia Porro   マッティア・ポッロ
No[44] : Daniele Colucci   ダニエレ・コルッチ
No[45] : Federico Adorni   フェデリコ・アドルニ
No[46] : Simone Massaroni   ジモネ・マッサロニ
No[47] : Alberto Senese   アルベルト・ゼネゼ
No[48] : Matteo Beragnoli   マッテオ・ベラニョリ
No[49] : Nicolas Pezone   ニコラス・ペツォネ
No[50] : Giuseppe Cavadenti   ジュゼッペ・カヴァデンティ
No[51] : Filippo Barbarossa   フィリッポ・バルバロッサ
No[52] : Alessandro Barberis   アレッサンドロ・バルベリス
No[53] : Antonio Brizzi   アントニオ・ブリッツィ
No[54] : Alessio Vannini   アレッシオ・ヴァンニニ
No[55] : Bruno Petroni   ブルノ・ペトロニ
No[56] : Bruno Ispiro   ブルノ・イスピロ
No[57] : Egidio Fumagalli   エジディオ・フマガッリ
No[58] : Glauco Gilardoni   グラウコ・ジラルドニ
No[59] : Italo Mazzero   イタロ・マッツェロ
No[60] : Ettore Recagni   エットレ・レカニ
No[61] : Daniele Boscarino   ダニエレ・ボスカリノ
No[62] : Mattia Rizza   マッティア・リッツァ
No[63] : Massimo Genovese   マッシモ・ジェノヴェゼ
No[64] : Giovanni Cacciottolo   ジョヴァンニ・カッチオットロ
No[65] : Ernesto Baietti   エルネスト・バイエッティ
No[66] : Simone Ammendola   ジモネ・アンメンドラ
No[67] : Michele Talia   ミケレ・タリア
No[68] : Antonio De Angelis   アントニオ・デ・アンジェリス
No[69] : Gianmaria Liburdi   ジャンマリア・リブルディ
No[70] : Antonio Violi   アントニオ・ヴィオリ
No[71] : Giorgio Bertacchi   ジョルジョ・ベルタッキ
No[72] : Andrea Bonavia   アンドレア・ボナヴィア
No[73] : Giacomo Busiello   ジャコモ・ブジエッロ
No[74] : Antonio Busin   アントニオ・ブジン
No[75] : Federico Busini   フェデリコ・ブジニ
No[76] : Giovanni Busoni   ジョヴァンニ・ブソニ
No[77] : Giuseppe Bussi   ジュゼッペ・ブッシ
No[78] : Livio Bussi   リヴィオ・ブッシ
No[79] : Mario Bussich   マリオ・ブッシチ
No[80] : Giovanni Bussone   ジョヴァンニ・ブッソネ
No[81] : Cesare Butti   チェサレ・ブッティ
No[82] : Alberto Genova   アルベルト・ジェノヴァ
No[83] : Ernesto Galli   エルネスト・ガッリ
No[84] : Carlo De Bernardi   カルロ・デ・ベルナルディ
No[85] : Gian Nicola Pinotti   ジャン・ニコラ・ピノッティ
No[86] : Pietro Maroso   ピエトロ・マロソ
No[87] : Nicholas Rizzo   ニコラス・リッツォ
No[88] : Filippo Fantin   フィリッポ・ファンティン
No[89] : Mattia Ceccarello   マッティア・チェッカレッロ
No[90] : Andrea Barbaro   アンドレア・バルバロ
No[91] : Enrico Patti   エンリコ・パッティ
No[92] : Francesco Mazzini   フランチェスコ・マッツィニ
No[93] : Federico Cheli   フェデリコ・ケリ
No[94] : Antonio Manzo   アントニオ・マンツォ
No[95] : Alessio Galantucci   アレッシオ・ガラントゥッチ
No[96] : Simone Grillo   ジモネ・グリッロ
No[97] : Pietro De Grazia   ピエトロ・デ・グラツィア
No[98] : Ilario Moscato   イラリオ・モスカト
No[99] : Mario Mazzone   マリオ・マッツォネ
No[100] : Giuseppe Pipicella   ジュゼッペ・ピピチェッラ
No[101] : Emanuele Ciccone   エマヌエレ・チッコネ
No[102] : Alessio Leveque   アレッシオ・レヴェクエ
No[103] : Christian D&#039;Antoni   クリスティアン・ド
No[104] : Valerio Murino   ヴァレリオ・ムリノ
No[105] : Pierre Bolchini   ピエッレ・ボルキニ
No[106] : Alberto Comparelli   アルベルト・コンパレッリ
No[107] : Davide Tuveri   ダヴィデ・トゥヴェリ
No[108] : Enrico Moro   エンリコ・モロ
No[109] : Nicola Fabianelli   ニコラ・ファビアネッリ
No[110] : Nicholas Cagiano   ニコラス・カジャノ
No[111] : Salvatore Lillo   サルヴァトレ・リッロ
No[112] : Federico Riceputi   フェデリコ・リチェプティ
No[113] : Leonardo Ravetta   レオナルド・ラヴェッタ
No[114] : Stefano Foglieni   ステファノ・フォーリエニ
No[115] : Daniele Avantaggiati   ダニエレ・アヴァンタッジアティ
No[116] : Christian Lancioli   クリスティアン・ランチオリ
No[117] : Roberto Gherardi   ロベルト・ゲラルディ
No[118] : Nicola Zanchi   ニコラ・ザンキ
No[119] : Jacopo Zambelli   ジャコポ・ザンベッリ
No[120] : Matteo Ferrari   マッテオ・フェッラリ
No[121] : Lorenzo Invernizzi   ロレンツォ・インヴェルニッツィ
No[122] : Marco Cappelli   マルコ・カッペッリ
No[123] : Alessandro Minelli   アレッサンドロ・ミネッリ
No[124] : Riccardo Gherardi   リッカルド・ゲラルディ
No[125] : Andrea Maglio   アンドレア・マーリオ
No[126] : Giancarlo Tellone   ジャンカルロ・テッロネ
No[127] : Giovanni D&#039;Andria   ジョヴァンニ・ド
No[128] : Dario Cacelli   ダリオ・カチェッリ
No[129] : Gabriele Galardini   ガブリエレ・ガラルディニ
No[130] : Alessandro Benini   アレッサンドロ・ベニニ
No[131] : Federico Nacci   フェデリコ・ナッチ
No[132] : Alberto Comincini   アルベルト・コミンチニ
No[133] : Matteo De Michele   マッテオ・デ・ミケレ
No[134] : Alessandro Maggi   アレッサンドロ・マッジ
No[135] : Matteo D&#039;Apolito   マッテオ・ド
No[136] : Simone Calogero   ジモネ・カロジェロ
No[137] : Alessandro Urso   アレッサンドロ・ウルソ
No[138] : Alberto Passon   アルベルト・パッソン
No[139] : Matteo Pariani   マッテオ・パリアニ
No[140] : Simone Crea   ジモネ・クレア
No[141] : Jaouad Jamal Idrissi   ジャオウアド・ジャマル・イドリッシ
No[142] : Riccardo Vicini   リッカルド・ヴィチニ
No[143] : Flavio Fofi   フラヴィオ・フォフィ
No[144] : Andrea Rota   アンドレア・ロタ
No[145] : Edoardo Duca   エドアルド・ドゥカ
No[146] : Francesco Grumo   フランチェスコ・グルモ
No[147] : Luciano Castriotta   ルチアノ・カストリオッタ
No[148] : Marco Ventimiglia   マルコ・ヴェンティミーリア
No[149] : Giuseppe Lanzetta   ジュゼッペ・ランゼッタ
No[150] : Daniele Arici   ダニエレ・アリチ
No[151] : Giovanni Micallo   ジョヴァンニ・ミカッロ
No[152] : Giuseppe Ausiello   ジュゼッペ・アウジエッロ
No[153] : Alessandro Pesce   アレッサンドロ・ペスチェ
No[154] : Mattia Sanzone   マッティア・サンツォネ
No[155] : Giuseppe Formosa   ジュゼッペ・フォルモサ
No[156] : Alessandro Corti   アレッサンドロ・コルティ
No[157] : Davide Napolitano   ダヴィデ・ナポリタノ
No[158] : Federico Lucidi   フェデリコ・ルチディ
No[159] : Vito Lupo   ヴィト・ルポ
No[160] : Sebastiano Di Dio   ゼバスティアノ・ディ・ディオ
No[161] : Gabriele Novello   ガブリエレ・ノヴェッロ
No[162] : Danilo Mazzei   ダニロ・マッツェイ
